Longitude,Latitude,Address
-85.25082424,35.05956683, 2060 MUSEUM ST
-85.20826634,35.07382381, 3900 PEACH ST
-85.22530516,35.08162736, 4057 HOMER ST
-85.2597215,35.06074154, 2001 HARDY ST
-85.26515941,35.07343443, 1011 FAIRLEIGH ST
-85.24120167,35.07208959, 3214 CAMPBELL ST
-85.24646003,35.0715262, 2410 WILDER ST
-85.23130627,35.07325889, 3651 WAUCHULA ST
-85.26838598,35.06706744, 2116 ELENA DR
-85.21006623,35.07273945, 4309 THUNDERBIRD DR
-85.23871594,35.07590431, 3420 BIRCHWOOD DR
-85.26855919,35.06622924, 2103 DELANO DR
-85.26621887,35.0558273, 1801 NEWTON ST
-85.26680019,35.05368213, 1806 RUBIO ST
-85.25290143,35.06154897, 2114 DAVENPORT ST
-85.26567338,35.05947843, 1609 OLIVE ST
-85.21022853,35.07105257, 3815 DEERFOOT DR
-85.24811131,35.07125312, 2309 STUART ST
-85.24266473,35.07162015, 3129 CAMPBELL ST
-85.26720572,35.06822295, 1105 QUEENS DR
-85.24965747,35.06968339, 2810 TAYLOR ST
-85.25211391,35.07132196, 2900 CURTIS ST
-85.22516707,35.07925132, 4044 BONNY OAKS DR
-85.24701886,35.06701844, 2613 ANDREWS ST
-85.21199799,35.07305521, 3834 DEERFOOT DR
-85.23483368,35.07267762, 3500 MARPORT DR
-85.22329828,35.07925723, 4120 BONNY OAKS DR
-85.25053812,35.07512063, 3205 CURTIS ST
-85.25099205,35.07327947, 3014 CURTIS ST
-85.23918023,35.07822192, 2512 RIDGECREST DR
-85.26015928,35.07237208, 2713 RIVERSIDE DR
-85.24719422,35.07423256, 3210 TAYLOR ST
-85.25264603,35.07582072, 1807 ELMENDORF ST
-85.23472923,35.07298973, 3502 MARPORT DR
-85.25017495,35.07567506, 3215 CURTIS ST
-85.25725253,35.05627037, 2303 OLIVE ST
-85.26586787,35.06790819, 2128 DELANO DR
-85.24539782,35.06751442, 2637 ANDREWS ST
-85.28174014,35.0551098, 1510 RIVERSIDE DR
-85.26058364,35.0547568, 2117 CAMDEN ST
-85.24793253,35.08365405, 3801 N  HAWTHORNE ST
-85.21104789,35.07441705, 4304 TEE PEE DR
-85.22462511,35.07865621, 3939 BRYANT ST
-85.24750825,35.07062435, 2400 STUART ST
-85.25384829,35.07518069, 3106 N  HAWTHORNE ST
-85.23118261,35.07233966, 3628 WAUCHULA ST
-85.23439046,35.07920742, 2817 RIDGECREST DR
-85.23792658,35.07802942, 2605 RIDGECREST DR
-85.20922533,35.07284615, 4316 BUTTERFLY DR
-85.20891942,35.07324843, 3818 PEACH ST
-85.25119097,35.07238577, 2105 STUART ST
-85.25885397,35.07230885, 2700 RIVERSIDE DR
-85.24633682,35.07664231, 3409 TAYLOR ST
-85.2434833,35.07084799, 2609 WILDER ST
